,participantID,num_runs
0,0,0
1,1,1
2,1,1
3,1,2
4,1,3
5,1,4
6,1,5
7,1,6
8,2,1
9,2,2
10,2,3
11,2,4
12,2,5
13,2,6
14,3,1
15,3,1
16,3,1
17,3,2
18,3,3
19,3,4
20,3,5
21,3,6
22,4,1
23,4,2
24,4,3
25,4,4
26,5,1
27,5,2
28,5,3
29,4,4
30,5,5
31,5,6
32,6,1
33,6,2
34,6,3
35,6,4
36,6,5
37,6,6
38,7,1
39,7,2
40,7,3
41,7,4
42,7,5
43,7,6
44,8,1
45,8,2
46,8,3
47,8,3
48,8,4
49,8,5
50,8,6
51,9,1
52,9,1
53,9,2
54,9,3
55,9,4
56,9,5
57,9,6
58,10,1
59,10,1
60,10,2
61,10,3
62,10,4
63,10,5
64,10,6
65,11,1
66,11,2
67,11,3
68,11,4
69,11,5
70,11,6
71,12,1
72,12,2
73,12,3
74,12,4
75,12,5
76,12,6
77,13,1
78,13,2
79,13,3
80,13,4
81,13,5
82,13,6
83,14,1
84,14,2
85,14,3
86,14,4
87,14,5
88,14,6
89,15,1
90,15,2
91,15,3
92,15,4
93,15,5
94,15,6
95,16,1
96,16,2
97,16,3
98,16,4
99,16,5
100,16,6
